Number of error messages,Start time of interval
675,15:45:00
667,15:59:00
667,17:37:00
659,15:44:00
655,16:05:00
653,16:49:00
652,16:38:00
651,16:00:00
651,17:09:00
647,16:55:00
644,16:11:00
644,17:23:00
641,16:25:00
641,16:46:00
641,17:27:00
640,16:02:00
638,17:01:00
638,16:07:00
638,15:55:00
637,16:16:00
636,17:40:00
636,17:14:00
635,17:21:00
634,16:44:00
633,16:53:00
633,16:01:00
632,17:24:00
631,17:12:00
629,17:03:00
629,17:36:00
629,15:54:00
629,16:40:00
629,17:07:00
628,16:34:00
627,17:08:00
626,16:51:00
625,16:19:00
624,16:37:00
624,16:12:00
623,16:59:00
623,16:20:00
622,16:48:00
622,16:09:00
621,16:10:00
620,17:17:00
620,15:57:00
620,16:24:00
618,15:49:00
617,17:13:00
616,16:29:00
616,16:56:00
615,17:39:00
615,17:18:00
614,17:41:00
614,17:19:00
613,15:46:00
612,16:45:00
611,16:15:00
610,16:27:00
610,15:51:00
607,16:58:00
607,17:05:00
606,15:53:00
606,15:58:00
605,15:50:00
604,17:00:00
604,15:48:00
604,17:22:00
604,17:25:00
602,16:47:00
602,16:39:00
601,16:03:00
601,17:15:00
600,16:21:00
600,16:13:00
600,17:32:00
599,16:23:00
598,16:06:00
598,16:31:00
596,17:34:00
595,16:04:00
595,17:11:00
594,17:26:00
594,17:06:00
592,17:35:00
591,15:47:00
591,16:57:00
590,17:30:00
590,17:16:00
588,17:04:00
588,16:36:00
587,16:43:00
586,16:30:00
586,16:32:00
585,17:20:00
584,15:56:00
582,16:18:00
581,16:42:00
581,15:52:00
580,16:54:00
578,16:17:00
578,17:29:00
577,16:41:00
576,17:10:00
575,17:42:00
575,17:33:00
574,16:14:00
574,17:38:00
573,16:26:00
573,16:52:00
571,16:50:00
570,16:08:00
570,16:28:00
568,16:33:00
566,16:22:00
566,16:35:00
562,17:02:00
549,17:31:00
540,17:28:00
357,15:43:00
301,12:42:00
290,12:36:00
275,12:27:00
274,12:34:00
271,12:21:00
268,12:35:00
265,12:48:00
260,12:45:00
258,12:39:00
257,12:41:00
255,12:37:00
252,12:46:00
252,12:40:00
252,12:47:00
252,12:44:00
247,12:43:00
245,12:38:00
245,12:33:00
238,12:31:00
237,12:25:00
237,12:24:00
235,12:23:00
232,17:43:00
230,12:26:00
229,12:30:00
228,12:29:00
225,12:22:00
221,12:28:00
205,12:32:00
201,12:49:00
183,12:20:00
